trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1034,False,"{'a': 0.1, 'e': 0.5122446351771685}",20,0,-47.472809636507435,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
1035,False,"{'a': 0.1, 'e': 0.5113855396124478}",20,0,-62.8855501569794,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
1036,False,"{'a': 0.1, 'e': 0.5105259326622303}",25,13,26.594113929367225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1037,False,"{'a': 0.1, 'e': 0.5096658151861225}",30,16,-35.87822315384973,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
1038,False,"{'a': 0.1, 'e': 0.5088051880442421}",20,0,-60.37118305623097,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1039,False,"{'a': 0.1, 'e': 0.507944052097216}",25,0,-101.79728686486757,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
1040,False,"{'a': 0.1, 'e': 0.5070824082061802}",20,11,-0.35433729459267127,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
1041,False,"{'a': 0.1, 'e': 0.5062202572327784}",20,0,-47.284620008889206,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
1042,False,"{'a': 0.1, 'e': 0.5053576000391616}",25,5,-0.22959269954975703,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
1043,False,"{'a': 0.1, 'e': 0.5044944374879868}",25,0,-59.837620710160294,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
1044,False,"{'a': 0.1, 'e': 0.5036307704424167}",20,15,7.543261108760809,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1045,False,"{'a': 0.1, 'e': 0.5027665997661179}",20,1,-93.51360431285943,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 1}",1
1046,False,"{'a': 0.1, 'e': 0.5019019263232615}",20,0,29.991069542236936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1047,False,"{'a': 0.1, 'e': 0.5010367509785203}",30,0,-43.97654921675267,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
1048,False,"{'a': 0.1, 'e': 0.5001710745970701}",30,2,-6.727555620169008,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 0}",1
1049,False,"{'a': 0.1, 'e': 0.49930489804458683}",20,8,9.90531589517821,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1050,False,"{'a': 0.1, 'e': 0.4984382221872473}",25,15,21.595651609388767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.1, 'e': 0.49757104789172696}",30,16,-10.47577206459456,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
1052,False,"{'a': 0.1, 'e': 0.49670337602520037}",20,7,-11.528052249219488,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
1053,False,"{'a': 0.1, 'e': 0.49583520745533893}",20,15,9.360694227437452,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.1, 'e': 0.49496654305031157}",25,0,-39.64223933853881,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
1055,False,"{'a': 0.1, 'e': 0.4940973836787822}",20,11,-33.649335011843185,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
1056,False,"{'a': 0.1, 'e': 0.4932277302099105}",30,8,-0.8776825571706139,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
